40-44,77,Greg,Sellei,J,44,NEM,0235-07KWZ,3900
50-54,101,Christopher,Shrader,J,52,INDY,163Y-02AAP,3900
65-69,19,Steve,Hoberg,L,66,CRUZ,383C-03M7H,3900
45-49,82,John,Doyle,M,46,HMS,353M-07MM2,3905
55-59,75,Christopher,Landry,S,57,NEM,023K-033EA,3910
45-49,80,Albert,Hopeman,A,48,NEM,023F-07NTK,3925
45-49,80,Michael,Mappes,R,45,NEM,023J-06R8N,3925
50-54,96,Neil,Greenspan,R,54,NEM,023U-0768Z,3925
45-49,79,Joseph,Laukaitis,J,48,NEM,023M-03592,3940
50-54,95,Greg,Mertes,J,53,ARKM,233C-01K3G,3945
55-59,74,Stuart,Kahn,L,59,DAM,383W-03YFZ,3945
35-39,50,Ryan,Lebro,J,38,NEM,023N-06JHG,3950
55-59,73,Tim,Patterson,K,55,OMAH,293T-01JAM,3950
55-59,71,Patrick,Murphy,S,58,PSM,363E-04FGM,3955
55-59,71,David,Madison,K,59,LOM,383Z-0415Z,3955
50-54,94,Jeff,Wilson,L,51,ARKM,2331-01K58,3960
65-69,16,Gayle,Phillips,A,65,MM,313H-076WT,3960
50-54,93,Thomas,Nisbet,A,52,NEM,023S-075JD,3970
40-44,74,Steve,Cramer,D,42,SRVM,3838-03S4N,3975
50-54,91,Bill,Meier,R,51,SRPM,0233-035U3,3975
30-34,36,Daniel,O'Kane,P,32,UNAT,303R-05TNN,3990
55-59,70,John,Constantine,H,55,DAM,383Y-03FZV,3990
30-34,35,Matthew,Cuttell,J,31,IM,2137-04S3V,3995
25-29,36,Geoff,Lay,P,27,UNAT,3439-083NA,4000
30-34,33,Craig,Page,W,30,GAJA,4537-082TV,4000
45-49,76,Thomas,Brown,L,45,DAM,3833-03R96,4000
45-49,76,Dave,Mason,C,48,SCA,333J-06BAU,4000
50-54,85,Robert,Marshall,A,54,NEM,0232-035JA,4000
50-54,85,Gregg,Recanzone,H,50,DAM,3830-03GZ0,4000
50-54,85,Edward,Colbert,J,54,NEM,023Y-033VX,4000
50-54,85,Thomas,Wallace,F,53,NEM,0233-05YY0,4000
55-59,69,Phillip,Bly,M,59,INDY,163A-02BBS,4000
60-64,29,Robert,Aldrich,E,63,SPM,143H-02T7P,4000
70-74,3,Richard,Todd,T,70,TCAM,383A-03J82,4000
50-54,83,Gregg,Recanzone,H,50,DAM,3830-03GZ0,4005
65-69,14,James,Green,M,68,NCMS,133H-022ZR,4010
30-34,32,James,Montante,J,30,SPM,1438-02T0G,4020
60-64,27,Craig,Leidersdorf,B,62,CVMM,3331-03AWP,4020
60-64,27,John,Olander,R,62,NEM,0232-035MD,4020
18-24,25,Raymond,Long,J,19,DAM,383B-08484,4025
35-39,46,Jeff,Hodges,W,37,PMST,543Y-05GJZ,4025
45-49,72,Tracy,Harris,K,47,DAM,383E-03N50,4025
50-54,81,David,Welsh,D,53,MOST,433R-02P46,4025
55-59,67,Kirkham,Wood,B,58,NEM,023P-07MZW,4030
35-39,44,Abraham,Rogers,E,39,NEM,0239-06HY5,4035
35-39,44,James,Morrissey,G,39,TNYA,063U-02XS7,4035
40-44,70,Harris,Liu,D,44,DAM,383S-06960,4035
60-64,26,Floyd,Fisk,M,60,SAWS,593E-03FM4,4035
45-49,71,Ron,Schmidt,J,45,ARKM,2339-084AB,4040
60-64,25,Paul,Landes,H,62,DAM,383P-03HAC,4045
45-49,69,Jonathan,Jensen,J,47,DAM,383V-041T4,4050
50-54,80,Patrick,Conley,M,52,SCA,333W-0828T,4050
55-59,64,David,Judelson,S,56,NEM,0239-03356,4050
18-24,24,Travis,Dennison,L,21,NEM,023V-084W5,4060
30-34,28,Jamie,Johnson,D,33,SKY,413Y-06NY3,4060
45-49,68,Todd,Cheever,R,47,SKY,413R-01W43,4065
55-59,61,Peter,Spahr,C,57,DAM,383Y-03KC4,4070
55-59,61,Thomas,Gelinne,G,55,TNYA,063S-02XR9,4070
65-69,13,Larry,Raffaelli,L,69,VCM,333A-03B35,4070
55-59,59,Robin,Malm,G,58,DAM,383E-03FS7,4075
55-59,59,Patrick,Long,R,56,DAM,3832-03HBE,4075
45-49,67,Charles,Dewitt,M,49,NEM,023G-035R5,4085
50-54,78,Mark,Schwartz,W,54,DAM,383S-03GDY,4090
55-59,56,George,Horan,T,58,FINS,083T-021YK,4090
55-59,56,David,Carchedi,R,58,NEM,0232-0354D,4090
35-39,41,Ken,Kwa,K,39,NEM,0236-03497,4100
35-39,41,Kent,Zelle,N,35,NEM,023W-07HU4,4100
50-54,77,Christopher,Rock,J,53,DAM,3830-03KFE,4100
55-59,54,Mark,Anderson,J,59,IM,213H-02UAV,4100
55-59,54,James,Wright,R,55,DAM,3838-03HFR,4100
60-64,23,Charles,Holum,F,61,CMS,3233-0317U,4100
45-49,65,Rutger,Engbersen,R,47,OREG,373W-02723,4105
40-44,68,Charles,Cockrell,E,44,VMST,123R-02HTW,4110
50-54,76,David,Riley,P,50,NEM,0238-03443,4110
60-64,21,Robert,Richardson,B,60,OREG,373G-049YA,4110
25-29,32,Elliot,Miller,A,29,NEM,0237-05ESF,4115
55-59,53,Edward,Mann,R,55,OREG,3730-026V0,4115
55-59,52,James,Tull,C,59,TAM,383D-03HT5,4120
30-34,27,Kenneth,Catalano,J,32,NEM,023U-06SUE,4125
45-49,63,Charles,Grall,D,48,OREG,373C-06P2A,4125
30-34,26,Timothy,Lyons,F,34,NEM,023K-07UBR,4130
40-44,67,Glenn,Hadsall,A,43,PCAT,263D-082AG,4130
55-59,50,Mark,Glenesk,J,56,KMAN,333Z-03DNH,4130
30-34,25,Peter,Hanselmann,A,30,DAM,383D-07UCM,4135
50-54,73,George,Alexandre,E,54,NEM,023E-066FP,4135
50-54,73,Ken,Gersbach,C,52,SPM,1434-065N7,4135
55-59,48,Kermit,Yensen,D,59,OREG,373E-025Y1,4135
55-59,48,Joseph,Grafton,J,55,DAM,3830-03HAV,4135
65-69,12,Jack,Mills,S,65,DAM,383H-03HH8,4135
35-39,39,Jack,Martins,N,37,TNYA,0638-05YMG,4140
40-44,66,Sean,Cabbage,M,41,MICH,193P-05SVG,4140
35-39,38,James,Lee,P,35,NEM,0234-001S3,4150
45-49,60,Rick,Vasquez,A,49,UNAT,383W-03N7E,4150
45-49,60,John,Weber,G,47,MICH,1934-06YBE,4150
55-59,45,Kenneth,Vandroff,M,56,SMM,383C-040HD,4150
55-59,45,Richard,Hudson,R,55,ESMS,153R-07GME,4150
55-59,45,Michael,Collier,R,59,NEM,023F-01VMJ,4150
60-64,19,David,Lewis,W,61,INDY,163B-02A9S,4150
65-69,11,Daniel,Rogacki,J,65,NEM,023B-033XF,4150
40-44,64,Stephen,Imbusch,C,44,NEM,023P-07HJ3,4160
45-49,59,Todd,Nelson,D,46,SCA,3337-04FMG,4160
40-44,62,Guy,Cacciarelli,A,43,SCA,3331-03DYM,4165
40-44,62,John,Leonard,R,42,MOST,4338-02NWN,4165
55-59,44,Todd,Erickson,L,58,MOST,4334-02PMS,4165
25-29,31,Sam,Walton,R,27,SCA,3333-06U7P,4170
35-39,37,Mark,Smith,C,39,NEM,023S-046AH,4170
45-49,57,Harold,Sachs,R,48,CMYM,093G-01V78,4170
50-54,71,Gregory,Gomez,M,54,NEM,023C-03568,4170
60-64,18,Kent,Mc Donald,C,60,MOVY,283N-01NS4,4170
65-69,10,Kenneth,Frost,A,68,TAM,383S-03HJH,4170
50-54,68,Steffan,Sarkin,B,52,ARKM,233Y-01K71,4175
18-24,21,Derek,Nido,J,24,AGM,4339-07M46,4180
50-54,67,Jeff,Spencer,D,54,ARKM,233R-01K5P,4180
25-29,30,Daniel,Werner,L,28,WH2O,333R-06UMZ,4185
55-59,43,Buz,Kroner,R,59,MOST,433V-02P1E,4185
60-64,17,Stephen,Paushter,L,61,BUMS,043G-01X9C,4195
30-34,21,Alexander,Barclay,T,31,TNYA,063M-061MV,4200
35-39,34,Hugh,McGowan,M,35,TNYA,0639-02XU6,4200
40-44,60,Ken,Frost,A,40,TAM,383H-03JK9,4200
45-49,56,Paul (Tank),McNamara,F,49,GAJA,4535-0601J,4200
50-54,64,Kenneth,Duff,E,52,YHFM,243J-06B7J,4200
50-54,64,Steven,Richey,C,52,MOST,433S-02NXE,4200
55-59,41,Michael,McCombs,P,56,UNAT,023U-035EK,4200
60-64,16,Jim,Thompson,M,61,INDY,1637-04R10,4200
65-69,9,Andrew,McPherson,M,65,DAM,383B-03GXT,4200
45-49,54,Kenneth,Barbee,A,48,1776,083K-022CS,4210
50-54,63,Patrick,Heuveline,C,50,UCLA,333J-04ZHB,4210
40-44,59,Douglas,Webb,J,42,O*H*,1834-01PG5,4220
50-54,62,Todd,Estabrook,H,53,NEM,023B-046HM,4220
60-64,14,Bob,Bruce,A,64,OREG,373Z-025YX,4220
60-64,14,Philip,Jonckheer,W,60,TAM,3838-03K5W,4220
35-39,33,Derek,Kent,C,39,SRVM,383N-072KS,4225
40-44,57,Benjamin,Lloyd,J,41,AGUA,063R-02Z12,4225
55-59,40,Steve,Garrett,M,55,DAM,3837-06HSH,4225
60-64,13,Michael,Stephenson,R,60,OREG,373T-026ZM,4230
35-39,32,Joshua,Judge,M,36,TNYA,0636-05X2Y,4235
45-49,50,Mazen,Hassan,K,45,CVMM,3335-01XRE,4250
45-49,50,Roger,Wright,B,47,IMSC,263W-02G45,4250
45-49,50,Daniel,McIntosh,J,47,NEM,023K-046YA,4250
50-54,61,Scott,Christian,R,50,OREG,3737-01PEB,4250
55-59,38,John,Dickey,B,57,DAM,383A-05Y98,4255
45-49,48,Christopher,Spearing,M,47,UNAT,053J-085HN,4260
45-49,48,Laszlo,Bardos,C,49,NEM,023P-034JB,4260
55-59,36,George,Vieth,W,57,DAM,383E-01WM5,4265
25-29,29,Jonathan,Long,Z,27,NEM,023V-07H3G,4275
35-39,29,Brent,Garriepy,C,36,LBG,333J-034NT,4275
50-54,58,Glen,Vargas,A,52,SYSM,143N-06N5U,4275
55-59,35,Allen,Larson,J,59,OREG,373S-05VZ3,4275
45-49,47,Daniel,Sperka,J,47,DAM,383S-03URZ,4280
40-44,52,Douglas,Trumpey,S,42,INDY,1631-02AMS,4285
45-49,46,Lautaro,Echiburu,A,47,DAM,383K-03VNG,4285
75-79,1,David,Radcliff,A,78,OREG,373G-025V8,4285
40-44,50,David,Bowman,R,44,CFSC,253K-07M5P,4290
40-44,50,Mark,Goldman,S,41,DAM,3834-033DD,4290
50-54,57,Brent,Tininenko,M,51,ARKM,2334-01K4U,4290
40-44,49,Nathan,Goedde,R,42,DAM,3837-05J6Z,4295
55-59,33,Jack,Tuholske,R,58,NEM,023S-01JU0,4295
18-24,19,David,Benjamin,A,19,AGUA,0634-0820R,4300
18-24,19,Tim,Feddersen,K,22,CVMM,333X-0704N,4300
30-34,20,Sean,McGowan,M,32,AGUA,063Z-01SDD,4300
40-44,46,Brandon,Kovach,C,41,MOVY,2835-075AZ,4300
40-44,46,Joshua,Smith,C,44,SPM,143K-064F4,4300
45-49,45,Mark,Schactman,J,46,TERR,1032-01V3C,4300
50-54,56,Hubbard,Garber,R,53,NEM,023A-078N7,4300
65-69,7,Douglas,Miller,K,66,INDY,163D-01NE1,4300
60-64,12,Stephen,Morris,L,61,PCAT,263P-03HH9,4305
65-69,6,Steven,Peterson,B,66,PSM,3632-02KVC,4305
18-24,17,Jeffrey,Winter,M,23,TNYA,0632-0835T,4310
18-24,17,Ethan,Carlson,M,19,PSM,363V-07R6K,4310
50-54,54,David,Herman,S,51,SPM,143A-04RY4,4310
50-54,54,Richard,Risso,J,53,CRUZ,383H-03NN7,4310
55-59,32,David,Woodruff,L,56,DAM,383A-03HFT,4320
60-64,11,Charlie,Swanson,E,61,OREG,373P-026EP,4320
30-34,18,Paul,Shoen,W,31,UNAT,373Y-0793P,4325
40-44,45,Marshall,Price,N,40,AGUA,063E-06SA2,4325
50-54,53,David,Schubert,A,51,NEM,0230-0345Y,4325
50-54,52,Lyle,Mc Carty,H,52,DAM,383B-04183,4330
40-44,43,Tobin,White,F,40,DAM,383Z-03HRG,4340
45-49,43,Jim,Harrington,C,45,NEM,0231-004TY,4360
50-54,50,Patrick,Prince,W,50,OMAH,293D-01JBM,4360
30-34,16,Bryan,Pro,M,34,DAM,383F-03P4Z,4370
50-54,49,Randall,Mertes,L,50,ARKM,233R-01K67,4375
55-59,29,Steven,Plackemeier,J,58,SDSM,443S-07B8C,4380
50-54,44,Ed,Barth,J,54,NEM,0231-03607,4385
50-54,44,Philip,Schoepke,J,51,NEM,0230-035WJ,4385
50-54,44,Eric,Grubel,E,50,SCA,333A-03E9R,4385
55-59,27,Bob,Dickson,J,57,INDY,1634-02A8F,4385
45-49,42,David,Uprichard,E,46,REDT,0637-06GS2,4390
25-29,24,Zachary,McCutchen,A,25,LODI,3838-070AR,4400
50-54,42,John,Fleming,F,50,MICH,193K-06BUE,4400
50-54,42,Vincent,Burks,P,52,NEM,0230-033TJ,4400
55-59,26,Frank,Elliott,C,59,SMM,3839-03KU2,4400
45-49,39,Paul,Goudreau,J,46,NEM,023Z-033TT,4415
45-49,39,Timothy,Waud,P,45,OREG,373S-003DK,4415
25-29,23,Craig,Charley,R,29,RCA,123R-02HRA,4420
35-39,26,Kip,Zurcher,R,38,INDY,1630-079Y7,4420
25-29,21,David,Modzelewski,C,25,MMST,053R-08599,4425
25-29,21,Michel,Grosz,Z,26,DAM,383Y-07GSR,4425
40-44,39,Gordon,Gridley,R,40,SLOW,343H-060M7,4425
55-59,24,Gilles,Chalandon,A,56,AGUA,063J-02YE4,4425
50-54,40,Chris,French,A,51,NEM,0230-034EP,4430
35-39,25,Jonathan,Shinnick,C,39,MERR,093N-07KT4,4440
45-49,38,Theodore,Casterline,A,47,OREG,3739-026BA,4440
50-54,39,Brent,Washburne,C,51,OREG,373D-00602,4440
30-34,14,Evan,Cobb,M,33,TNYA,063D-06YCF,4445
18-24,16,Christopher,Hyatt,L,24,ARKM,233N-084C5,4450
30-34,13,Martin,Winner,G,31,LVAM,383G-082JY,4450
35-39,23,Michael,Thiry,A,37,IM,213M-062GC,4450
40-44,36,David,Griesbauer,L,42,NEM,0234-07366,4450
55-59,23,Jon,Dees,L,55,TULS,2733-06Z4F,4450
50-54,38,Andrew,Majeske,J,51,1776,083U-03FZR,4455
60-64,10,Mark,Block,A,61,CHEL,063D-02YBU,4460
40-44,35,Andrew,Strehle,P,43,NEM,023J-03573,4470
45-49,37,Jonathan,Weiss,D,45,1776,083X-02277,4470
50-54,37,Robert,Turner,T,51,VMST,1231-02HVD,4470
55-59,21,John,Chambers,B,57,UNAT,0639-02YB5,4480
60-64,9,Glenn,Gruber,A,63,VCM,333C-03A1R,4480
35-39,22,Onesimo,Demira,C,39,TNYA,063E-02YCC,4485
40-44,34,Christian,Tujo,F,41,OREG,373Z-026K2,4490
50-54,34,Jon,Irwin,M,52,SCA,3336-03C7J,4490
40-44,32,Jaime,Balboa,R,44,UCLA,3335-03UHF,4500
40-44,32,Chris,Kovacs,E,43,NEM,023N-060UB,4500
45-49,36,Robert,LeVine,S,48,NCMS,133Y-022X6,4500
50-54,33,Thomas,Anderson,D,51,MELO,383G-03G4X,4500
55-59,19,Lars,Durban,R,55,PSM,363G-02KNC,4500
55-59,19,Mark,Spratt,W,57,INDY,163U-02AMM,4500
55-59,18,Stephan,Freeman,J,56,SPM,143M-02REX,4505
40-44,31,Duncan,Adamson,S,42,NEM,023C-033N9,4520
55-59,15,Fred,Bartlett,R,56,NEM,023W-033J5,4520
40-44,29,James,Fleming,F,42,SCA,3335-02CW5,4525
45-49,34,Kent,Nicholas,M,45,MMAC,483R-06FZ0,4525
45-49,34,Michael,Doyle,B,49,PCAT,263D-02H01,4525
50-54,32,Rolf,Hoffmann,K,53,SCA,333F-07676,4525
55-59,13,William,Henderson,S,56,DAM,3838-073SH,4525
65-69,2,Carl,Selles,H,66,SPM,143D-030YY,4525
18-24,14,Derrick,Kao,D,23,NEM,023S-0825M,4535
60-64,8,Jack,Martin,R,61,1776,083K-0220V,4540
40-44,27,Douglas,Wright,B,42,DAM,383J-03ZKV,4545
25-29,20,David,Lucena,A,27,AGUA,063U-07ZCE,4550
65-69,1,Bruce,Mohl,E,66,T2NM,143T-0349M,4555
25-29,19,Andrew,Neuwirth,D,27,PSM,363Z-0803M,4560
50-54,30,Donald,Walker,M,54,MOST,433G-02NG9,4560
55-59,12,Jon,Olbum,H,55,UNAT,113Z-068AU,4560
25-29,18,Christopher,Lee,A,26,DAM,383P-060MU,4565
40-44,26,David,Edwards,M,43,SCA,333X-03E85,4570
45-49,33,Matt,Kowta,M,46,DAM,383C-03SC1,4570
60-64,6,Frank,Thompson,L,61,MICH,1931-028XC,4570
60-64,6,Joel,Wilson,R,64,CRUZ,3837-03EYR,4570
35-39,16,Adam,Burch,W,37,NEM,023S-06V0N,4575
40-44,25,Michael,Guirl,J,41,MOST,433P-02PWZ,4575
50-54,29,Ron,Collins,L,50,SPM,1438-02RMR,4575
50-54,28,Thomas,Grandine,A,54,PSM,3635-02KGM,4580
45-49,31,Todd,Irmas,E,49,CVMM,333R-061DJ,4595
60-64,5,Thomas,Perrin,C,62,INDY,1638-02AA4,4600
25-29,17,Audie,McRae,L,27,TNYA,063G-069UC,4615
45-49,30,Michael,Hlinka,E,45,SCA,3336-075Z6,4615
40-44,22,Josh,Weinstein,M,40,TPIT,113U-0698D,4620
30-34,11,Weslie,Anderson,E,31,MOST,433E-07PRU,4625
40-44,21,Steven,Shotts,J,42,NCMS,133A-02STC,4625
45-49,28,Kevin,Hunt,J,49,NEM,0231-033H9,4635
35-39,14,Eric,Williams,O,36,NEM,023Y-079S9,4640
40-44,19,Greg,Lendahl,J,43,CRUZ,383G-06S14,4640
18-24,12,Ben,Ungs,R,23,IAMA,403A-07SX2,4650
35-39,13,Brian,Delisle,P,38,SKY,4139-05WGW,4650
40-44,18,Kent,Anderson,A,40,DAM,383P-03WVJ,4650
45-49,25,Robert,Bonsall,A,49,1776,083M-042GW,4650
50-54,24,Peter,Neilley,P,52,NEM,023N-0347H,4650
45-49,24,Gerald,Anderson,E,48,SCA,3334-03AM1,4655
45-49,23,Michael,Mundy,D,48,NEM,023A-07BN2,4660
50-54,23,Larry,Hartley,S,53,NCMS,133X-0240A,4660
25-29,15,Jesse,Heaton,C,28,PSM,363S-060CH,4670
30-34,10,Chris,Castelli,R,34,AGUA,063P-06PZD,4675
50-54,18,Mark,Alexander,E,54,NEM,023M-0341C,4680
50-54,16,Lance,Halsted,E,53,DAM,383T-03GEE,4695
25-29,14,Scott,Mc Inerney,A,26,NEM,023P-06J7R,4700
35-39,11,Christopher,Mc Allister,S,39,SDSM,4438-002P5,4700
50-54,15,Douglas,Bosley,M,50,NEM,0230-033W4,4700
40-44,17,Chris,Pyhel,R,41,SPM,143C-0712K,4715
35-39,10,Erik,VanEtten,J,35,IM,2134-02UJH,4720
45-49,20,Edward,Waldron,C,46,CVMM,333J-02M9W,4720
40-44,16,Scott,Christensen,H,40,NEM,023B-005SP,4725
55-59,9,William,Reeves,W,59,SALT,343C-0310P,4725
55-59,8,Daniel,Kenny,B,55,SMM,383U-03KZW,4745
25-29,13,George,Crocker,H,29,DAM,383E-041MJ,4750
30-34,9,Justin,Brinkmeyer,R,31,NEM,0239-04732,4750
35-39,9,Kevin,Kosiorek,R,35,NEM,023Z-035ZD,4750
40-44,15,David,Polatty,P,42,NEM,023X-081ES,4770
25-29,12,Joshua,Gonzalez,R,25,NEM,023N-079ZS,4775
40-44,14,Donald,Gornto,D,41,SPCO,1432-02U3C,4775
50-54,13,Doug,Portelance,A,54,PSM,363N-02KWX,4775
35-39,8,Brian,Kremers,J,39,LBG,333M-03CD5,4780
50-54,11,Stephen,Washburn,T,54,CALM,383B-03YR6,4785
25-29,11,Eric,O'Loughlin,M,26,NEM,023M-06JHH,4800
35-39,7,Brook,Brayman,T,35,BWAQ,363Z-05U7U,4800
55-59,7,Bryan,Richardson,T,56,1776,0831-0224B,4800
35-39,6,Ken,Petruzzelli,P,39,DAM,3836-03HG6,4805
40-44,9,Jason,McPhate,B,44,CALM,383H-03SEY,4820
45-49,18,Robert,Breitel,E,45,FINS,0833-003WJ,4835
18-24,10,Russell,Newton,W,23,NEM,0232-05ETV,4850
50-54,10,James,Byers,M,51,NIAG,043D-01X2V,4850
25-29,10,Tyler,McGowan,A,25,NCMJ,503W-085MS,4855
25-29,9,Kevin,Mendenhall,C,29,DAM,383Z-048UA,4865
18-24,9,Alex,Snyder,J,23,INDY,1637-07Y0A,4875
50-54,9,Barry,Plaga,J,50,ROSE,333N-03A82,4875
50-54,8,John,Simons,N,52,SHMS,383T-0758R,4880
45-49,16,Kurt,Baron,C,48,VCM,333Y-03BBC,4885
55-59,5,Timothy,Kennedy,C,56,SPM,143H-02RF0,4895
45-49,15,Dennis,Tesch,N,47,UTAH,3435-003XN,4900
50-54,7,James,Biles,B,51,WMAC,2032-0204D,4905
30-34,5,Zachary,Jirkovsky,T,31,VCM,333W-06D6T,4920
55-59,4,Larry,Wood,W,59,TXLA,433C-02NJF,4920
25-29,8,Anthony,Mulloy,H,29,AGUA,0637-076H7,4925
50-54,6,Chris,Tainty,J,52,CRUZ,383C-03JCS,4925
45-49,14,Matthew,Gilson,R,45,NEM,023F-033F6,4935
40-44,7,George,Villarreal,C,41,TULS,2737-00677,4975
40-44,6,William,Sax,C,43,GMUP,103N-0377R,4990
50-54,5,Mark,Evans,E,54,DAM,383J-03J7X,5000
18-24,7,Krish,Rajagopalan,A,21,DAM,3836-0711A,5010
25-29,6,Brendan,Higgins,T,27,DAM,383R-03XC2,5010
30-34,4,Eric,Clarkson,M,30,CRUZ,383U-03XPS,5015
45-49,13,Simon,Millar,A,46,UCLA,3335-03A3H,5025
25-29,5,Andrew,Schaefer,F,29,BUMS,043P-06Z6S,5030
45-49,12,Doug,Koehler,J,46,CVMM,333C-049NA,5030
50-54,4,Stephen,Davis,M,54,SCA,333V-064T4,5040
18-24,5,Chris,Stoner,T,21,DAM,383Y-06NNF,5050
18-24,5,Joey,Nemesi,V,18,ARKM,233M-084DT,5050
35-39,3,Vincent,Visco,M,35,CVMM,333D-066JY,5065
45-49,11,Todd,Arris,E,47,TOC,3832-03H46,5065
35-39,2,Jeffrey,Halbert,B,38,INDY,163U-02AXC,5070
40-44,4,Benjamin,Morse,M,40,MESC,023U-0340N,5070
50-54,3,Christopher,Burke,A,50,SPM,143W-02RPB,5070
45-49,10,Moby,Coquillard,R,49,SMM,383F-03JYW,5090
40-44,3,Mark,Rubacky,S,43,NEM,023N-070MN,5110
18-24,4,Christopher,Guido,J,21,DAM,383F-06Y8F,5150
18-24,3,Yutaro,Sano,A,24,CRUZ,383A-0765F,5160
40-44,2,Stephen,Wukitch,J,44,NEM,023H-07NMN,5185
18-24,2,Jonas,Altman-Kurosaki,Y,24,AGUA,063T-07JK4,5200
50-54,1,Jeffrey,Stuart,S,52,CONN,053K-003NJ,5240
25-29,2,Edward (Ted),Bradley,J,29,SPM,143Y-02TT9,5265
45-49,9,Kenton,Jones,R,45,SDSM,4431-02C8B,5275
30-34,3,Michael,Emmons,J,31,NEM,023C-046M7,5325
30-34,2,Gregory,Danner,M,31,NIAG,043H-01XWE,5350
45-49,8,Hardy,Lussier,C,47,OREG,373W-025VX,5355
55-59,1,Sandy,Mac Donald,M,57,SMST,383G-03H4C,5355
25-29,1,Tobias,Work,T,27,NEM,0235-06GC0,5360
45-49,6,Anders,Rasmussen,M,49,TXLA,433K-02P06,5385
45-49,5,Randy,Eickhoff,M,47,SCA,333S-03BC3,5400
30-34,1,Mark,Callaghan,B,33,DAM,383Y-03JME,5435
45-49,4,Kurt,Dickson,F,45,ARIZ,4835-02EM5,5485
45-49,3,Jeff,Erwin,T,48,BLU,143D-01J0A,5540
18-24,1,Bruce,Deakyne,C,23,PSM,3636-07ZXW,5570
45-49,2,Ricardo,Valdivia,J,48,GOLD,5037-027B2,5585
45-49,1,Mike,Shaffer,G,47,VCM,333S-03B3B,5625
18-24,8,Jeremy,Butz,,24,AGUA,063F-0849U,4925
18-24,11,Edmond,Roche,,20,SCA,3339-075CN,4820
18-24,13,Alexander,Beeman,,23,NEM,023Y-07SEF,4550
18-24,15,Mark,Saroni,,23,MOST,433S-05EJD,4465
18-24,22,Craig,Mitchell,,22,NEM,0238-084YJ,4150
18-24,23,Robinson,Strong,,19,TNYA,063Z-07SK8,4085
18-24,26,Sean,Maynard,,21,NCMS,133T-0729X,3885
18-24,31,Michael,Ambrosio,,24,NEM,0234-07JJ5,3590
18-24,32,David,Benedict,,24,NEM,023R-081G0,3500
18-24,32,Benjamin,Crow,,18,DAM,383A-07X9D,3500
18-24,36,Victor,Romero,,21,AGUA,0635-06PYF,3375
18-24,37,Orlando,Urena,,24,AGUA,063X-077CM,3300
25-29,3,Cameron,Webb,,26,ART,4534-071VA,5160
25-29,4,Win,Chesson,,29,TNYA,063C-03WVC,5060
25-29,7,Christian,Bertram,,27,SMM,383J-07XVU,4965
25-29,16,Justin,Veneklase,,25,MICH,193D-07P9B,4645
25-29,25,Matthew,Stone,,28,SKY,413D-080W9,4375
25-29,25,Luis,Arias,,25,AGUA,063V-07RC5,4375
25-29,27,Satori,Iwamoto,,26,DAM,383J-071VM,4340
25-29,28,Markus,Marty,,29,CHEL,063E-06WZP,4280
25-29,33,Adolfo,Fernandez,,29,NEM,023G-07JHS,4080
25-29,34,Benjamin,Schwessinger,,29,DAM,383G-07EKH,4045
25-29,35,Damon,Bosetti,,28,NEM,023S-05ZM2,4030
25-29,36,Arman,Kayupov,,28,AGUA,063H-06NGP,4000
25-29,39,Tom,Garruto,,25,TNYA,063Z-080GD,3690
25-29,40,Brian,Agee,,29,DAM,3833-07B0X,3550
25-29,42,Patrick,McAlvey,,27,UNAT,063E-082WC,3515
25-29,43,Matland,Peterson,,28,PMST,543W-07JN6,3425
25-29,44,Leonardo,Melendez,,25,AGUA,063H-06PPB,3300
25-29,45,Daniel,Nolan,,28,CVMM,333W-083K1,3250
25-29,48,Patrick,Rogers,,28,DAM,383A-06BG4,2890
30-34,6,David,Miller,,30,DAM,383M-06END,4840
30-34,7,Johnny,van Velthuyzen,,33,PSM,363K-06TTA,4825
30-34,8,Michael,Kleinert,,31,UNAT,4430-05VJR,4775
30-34,12,Jeff,Buhr,,33,SKY,413H-01WSC,4500
30-34,15,Joseph,Bogatko,,33,TULS,273R-07EBM,4400
30-34,17,Robert,Wade,,30,MOST,433E-07SAC,4330
30-34,19,Bertrand,Dehouck,,34,TNYA,0639-04C64,4320
30-34,22,Anthony,Sisti,,31,NEM,023E-07E32,4195
30-34,23,Andy,Grayson,,34,OREG,373A-080Y9,4190
30-34,24,Josh,Green,,33,SLOW,343W-06BWV,4155
30-34,29,Byron,Olsen,,34,OREG,373U-07TCM,4045
30-34,30,Andrew,DiBari,,30,CMYM,093W-0803V,4035
30-34,30,J Daniel,Ferguson,,32,TNYA,063F-080UX,4035
30-34,33,Carlos,Miranda,,31,MOST,433K-085RJ,4000
30-34,37,Hao,Pan,,34,AGUA,063Z-0628J,3900
30-34,43,Henry,Chan,,33,SMM,383Y-03UWX,3715
30-34,44,Oleg,Mustiazza,,34,SMM,383K-06M9Y,3710
30-34,45,Mikhail,Valikhovsky,,33,ART,453N-08077,3695
30-34,46,Ignacio,Castano-Aguado,,32,DAM,3830-06BZT,3665
30-34,52,Longchuan,Li,,34,ART,453D-06TCB,3465
30-34,54,Maarten,Geerts,,33,DAM,383M-07EKD,3400
30-34,56,PJ,Skarlanic,,32,FGM,383V-07WJ8,3270
30-34,57,Seth,Richardson,,34,TNYA,063Z-0834F,3240
30-34,58,Kriss,Kilaru,,31,cibb,0631-07XMY,3020
