30-34,60,James,Symonds,A,34,ART,4538-06WHU,2860
50-54,180,Craig,Lundgren,N,53,DAM,383S-07N87,2860
30-34,59,Todd,Wass,W,31,ART,4532-083T5,2875
45-49,153,Timothy,Guscott,A,46,TNYA,063G-07EUS,2875
70-74,35,John,Crawford,B,70,OREG,373F-07XD3,2875
55-59,154,John,McLaren,M,57,NEM,0235-06J9B,2880
55-59,153,Robert,Feenstra,C,57,DAM,383A-060N3,2885
70-74,34,James,Browne,F,74,FMM,143W-02RD2,2900
50-54,178,David,Champagne,P,52,TAM,383T-03JUT,2920
70-74,32,Ron,LaLonde,R,73,ARIZ,4831-062S7,2925
70-74,31,George,Orning,W,70,ARIZ,483U-05SZM,2930
35-39,83,David,Souza,J,36,NEM,0232-06U4C,2950
45-49,151,Christopher,Souder,D,46,BWAQ,363K-07738,2950
60-64,92,Thomas,Munschauer,L,60,NEM,023P-0475X,2950
65-69,64,Paul,Teller,R,69,DAM,383S-03G01,2955
70-74,30,Brent,Lake,L,74,OREG,3736-025UP,2955
40-44,137,Joseph,Tompkins,A,42,PSM,363T-083UE,2960
40-44,136,Charles,Edgerly,E,41,NEM,023B-083DP,2965
55-59,152,Rick,Moss,S,55,DAM,383Y-03GXR,2965
70-74,29,William,Crowley,H,73,PCAT,263R-02G7D,2965
50-54,176,Frank,Wuest,C,52,NEM,023J-033YW,2970
70-74,28,Lloyd,Johnson,G,72,CVMM,333B-06TAH,2970
80-84,3,Charles,Weatherbee,E,80,FMM,143M-02RR4,2970
40-44,135,Alan,White,G,42,NEM,0231-05Y3N,2975
35-39,81,David,Graham,C,38,NEM,023B-06FZU,3000
45-49,148,Kyung,Nam,J,45,NEM,023N-07JBD,3000
55-59,146,Richard,Griffith,W,59,AGUA,063C-02Y2G,3000
55-59,146,John,Renwick,C,59,NEM,023S-07XK7,3000
55-59,146,Rupert,Seals,L,55,FINS,0833-0224D,3000
75-79,9,Edward,Colley,M,75,UNAT,0231-06HP4,3000
80-84,2,Francis,McAree,E,82,INDY,1637-02ACR,3000
45-49,147,Samir,Shah,A,45,NEM,0237-083PA,3010
70-74,25,Jon,Nelson,E,74,CRUZ,3830-03FH2,3010
45-49,146,Joel,Mann,E,45,PMST,543S-06J6U,3015
55-59,144,Timothy,Havel,F,59,NEM,023E-0720W,3015
50-54,173,Michael,Nanfito,E,50,SCA,333G-07B13,3025
60-64,88,Rodney,Swanigan,E,61,FMM,1433-02SW6,3025
75-79,8,John,Sulzbach,F,78,MELO,383D-03G4J,3025
45-49,145,Ronald,Lee,E,45,DAM,3836-04238,3040
75-79,7,George,Thayer,D,76,OREG,373T-025X2,3040
55-59,141,Michael,Carey,F,55,CVMM,333M-06SJ2,3045
55-59,140,Craig,MacPherson,A,58,PCAT,263P-05EJF,3050
60-64,86,Mike,Thompson,E,63,SPAW,153D-06SK1,3050
45-49,143,Kyle,Kersey,D,48,OREG,373V-060ZB,3060
50-54,172,Donald,Remaniak,G,53,NEM,0232-047BK,3070
75-79,6,Philip,Kerr,B,77,MESC,023T-01V52,3070
45-49,142,Heriberto,Delgado,J,49,FACT,143N-02RU6,3075
60-64,85,John,Kersten,C,60,PMST,543M-01HXE,3075
35-39,79,Mike,King,R,39,WAVA,123S-05PKM,3085
40-44,131,Justin,Wender,B,43,AGUA,0632-082MT,3100
50-54,168,Jeffrey,Marshall,D,52,DAM,3835-07UWB,3100
50-54,168,Christopher,Sykes,R,52,NEM,023P-07NSM,3100
50-54,168,Chris,Andersen,T,54,TULS,273S-01K1Y,3100
65-69,61,Tom,Martens,A,67,DAM,383U-03M72,3100
65-69,61,Melvin,Smith,H,69,PSM,363S-02VGP,3100
75-79,5,Robert,Benson,F,77,ANCM,1033-036GJ,3100
25-29,47,Taylor,Wood,H,27,SKY,4137-07H6X,3110
35-39,77,Mark,Knott,D,36,NEM,023X-06PGN,3110
70-74,23,Peter,Berghaus,P,72,CONN,053E-01S58,3110
65-69,60,Robert,Calverley,H,67,SCA,333G-03A99,3115
55-59,137,Walter,Carter,R,57,OREG,373F-05XRU,3120
50-54,167,Jon,Wiley,R,54,CSI,163X-04PZH,3125
70-74,22,Glenn,Wangdahl,E,70,MARY,0938-01VWD,3125
75-79,4,Jerry,Marchbanks,L,77,MOST,433U-02NH0,3125
40-44,130,Donald,Parks,C,43,TSTT,333K-049PK,3135
60-64,82,William,Wheeler,J,62,DAM,383J-04ZA2,3140
55-59,135,Michael,Hahn,T,55,UNAT,333S-03B0T,3150
55-59,135,John,Dolan,V,55,NEM,0235-033JF,3150
65-69,59,Lee,Lovitz,S,67,NEM,023V-033RW,3155
70-74,21,Michael,Dunn,E,70,SDSM,443J-07ZHU,3160
35-39,74,Andrew,Pedersen,I,39,NEM,023T-0476W,3170
45-49,141,Robert,Lax,N,49,LTMM,073X-084DZ,3170
45-49,139,Marc,Scott,A,48,AGUA,063B-07XGK,3175
45-49,139,Michael,Schulhof,E,46,SCA,333W-06JA9,3175
60-64,81,Douglas,Green,A,60,SCA,3338-03AJ2,3175
65-69,58,Martin,Mann,R,65,MICH,193R-0295K,3175
40-44,128,Juan,Sorensen,C,41,DAM,383X-073WS,3180
60-64,80,Will,Davis,E,61,DAM,383N-03G0K,3180
70-74,20,Biff,Atwater,M,71,NEM,023U-06MBN,3180
55-59,134,Thomas,Bidwell,C,59,NIAG,043D-01X6F,3185
65-69,56,Mikos,Fabersunne,S,66,DAM,383T-04121,3185
55-59,133,David,Cross,D,58,DAM,383G-03GY6,3190
65-69,55,Richard,Bourne,C,69,DAM,383B-03HB7,3195
70-74,19,John,Spence,L,71,OREG,3732-06KMM,3195
35-39,73,Matthew,Bosma,J,37,FGM,383X-07SNX,3200
50-54,165,John,Miller,R,54,DAM,383N-073SW,3200
65-69,53,John,Welton,C,65,ARIZ,4838-02EUE,3200
70-74,18,Thomas,Frankel,H,71,DAM,383H-040NC,3205
25-29,46,Caton,Mande,W,25,DAM,383C-080VW,3210
55-59,131,Doug,Conner,H,58,KMAN,333A-06PT2,3215
40-44,127,Michael,Schaeffer,W,42,SKY,413X-07EYB,3220
45-49,138,Robert,Ramos,T,48,SCA,333E-076R5,3220
65-69,52,John,Richards,W,65,DAM,383P-03GE0,3240
80-84,1,Robert,Beach,E,82,SPM,143B-02REM,3240
40-44,126,Jason,Lassen,D,40,PSM,3637-04F74,3250
55-59,129,John,Norlin,E,58,CMS,323A-07FFE,3250
60-64,75,Perry,Heath,C,62,INDY,1636-02A92,3250
60-64,75,John,Munro,J,64,NEM,0235-07NCC,3250
65-69,49,Barry,Hillman,A,65,TCAM,383E-05SSH,3250
65-69,49,Hans,Van Meeteren,P,68,NCMS,133B-023NH,3250
50-54,163,Robert,Kaminsky,M,54,NEM,0231-07N0V,3260
55-59,128,Robert,Hard,J,59,MOST,4331-04KSX,3260
40-44,125,Christopher,Tripler,E,44,NEM,0232-0474Y,3275
50-54,162,Gregory,Harrington,D,52,MICH,1934-066V2,3275
45-49,135,Bryan,Watt,C,47,OREG,373M-06RS4,3280
65-69,48,Leonard,Williamson,M,67,UNAT,383J-06J0T,3290
50-54,160,George,Stevens,L,51,DAM,3838-03J9H,3295
50-54,160,Pat,Hoelscher,A,52,TCAM,383V-07EWZ,3295
60-64,74,Michael,Cullen,P,60,NEM,023X-03424,3295
45-49,132,John,Sowa,R,49,UNAT,0731-07VWW,3300
50-54,159,Eric,Steger,D,53,LVAM,383H-03U54,3300
60-64,73,Arthur,Russo,R,63,PMST,543R-01HXB,3300
70-74,17,Bob,Jones,L,70,ARIZ,483K-02ES9,3300
35-39,71,Rick,Kimberlin,J,38,SKY,413W-07V7U,3305
50-54,157,Christopher,Lilienkamp,A,50,INDY,163E-05GA7,3315
55-59,125,Mark,Stone,A,56,TGM,5539-01H1H,3315
45-49,131,Scott,Rampy,T,48,ARKM,233V-075SV,3320
50-54,156,Lloyd,Talbert,W,52,SCA,333V-08389,3320
60-64,71,Denis,Desaulniers,J,62,NEM,023T-033AG,3320
40-44,120,Paul,Perz,M,44,NEM,023Z-033J2,3325
40-44,120,James,Hull,P,44,NEM,023W-061XR,3325
40-44,120,John,David,M,43,SCA,333C-07AX3,3325
50-54,155,John,Sowa,R,50,UNAT,0731-07VWW,3325
60-64,68,John,Vail,C,64,CRAB,093B-036T5,3325
60-64,68,Michael,Harfst,D,60,OREG,3730-02716,3325
30-34,55,David,Doucett,V,31,NEM,0239-07MUD,3335
40-44,119,Paul,Del Bene,M,43,DAM,383W-068F7,3340
50-54,154,Timothy,Coffey,C,53,NEM,023V-073C4,3340
55-59,123,James,Wetzel,M,55,NEM,023C-05EZC,3340
60-64,67,Bruce,Braly,J,63,DAM,383F-03HH0,3345
40-44,118,Scott,Linnborn,R,42,NITR,433S-06M29,3350
55-59,122,John,Carter,C,57,NEM,0231-07KEE,3350
60-64,66,Bob,Plencner,R,60,NEM,0231-06VUZ,3350
65-69,46,David,Baxter,C,68,NEM,0236-033FD,3350
45-49,129,Scott,Hacker,A,46,NEM,0234-07HH4,3360
65-69,45,Jon,Mahanna,E,65,TCAM,3836-06SXE,3360
60-64,64,Tom,Neff,G,60,INDY,163S-02A9X,3365
50-54,150,Patrick,Koranda,W,52,IMSC,2639-07CJ9,3375
50-54,149,Joseph,Burzynski,N,50,TNYA,0633-02XK8,3385
70-74,15,John,Le Bourgeois,Y,74,UNAT,2132-022M9,3395
35-39,69,Craig,Gronlund,P,39,DMSC,1435-073JU,3400
65-69,42,Laszlo,Eger,J,67,NEM,023T-033A1,3405
45-49,128,Peter,Dillon,W,46,SRPM,023H-07KPA,3410
50-54,147,Mark,Schaffer,A,50,TNYA,063C-02XUU,3410
50-54,146,Alan,Morrison,J,50,cibb,063X-0304F,3415
45-49,126,John,Mulcahy,V,46,TSTT,333A-07UC3,3425
50-54,144,Bradley,Convis,A,50,WAVA,123E-07C1V,3425
55-59,120,Robert,Harris,D,57,NEM,023W-06V87,3425
65-69,38,Michael,Aiello,B,65,KMAN,333A-067FS,3430
35-39,67,Matt,Watkins,O,36,ART,453U-04EFS,3435
50-54,142,David,Boothby,J,54,NEM,023A-035VV,3435
50-54,142,Moira,Talan,V,52,SCA,333F-083TB,3435
70-74,14,Robert,Norris,F,74,DAM,3835-03GE4,3435
35-39,66,Francois,Martin,A,36,METR,063B-02YEV,3440
40-44,113,William,Williamson,V,42,ARKM,233T-084CJ,3450
